;dritte Zähne;;;;;nomen;;mûfogsor
der;Mund;Münder;;;;nomen;;száj
;sinnlich;;;;;adjektive;;érzéki
;lächelnd;;;;;adjektive;;mosolygós
die;Hand;Hände;;;;nomen;;kéz
;fein;;;;;adjektive;;finom
;grob;;;;;adjektive;;durva
;feucht;;;;;adjektive;;nedves, vizes
;kalt;;;;;adjektive;;hideg
das;Bein;e;;;;nomen;;láb
;geformt;;;;;adjektive;;formás, formál, alakít
;attraktiv;;;;;adjektive;;csinos, bájos, vonzó
;schön;;;;;adjektive;;szép
der;Fuß;Füße;;;;nomen;;láb, lábfej
;zierlich;;;;;adjektive;;kecses
;angeschwollen;;;;;adjektive;;megdagadt, duzzadt
der;Plattfuß;Plattfüße;;;;nomen;;lúdtalp
;allgemeine;;;;;adjektive;;általános, általában
die;Eigenschaft;en;;;;nomen;;tulajdonság
;geistig;;;;;adjektive;;szellemi
die;Fähigkeit;en;;;;nomen;;képesség, adottság
;klug;;;;;adjektive;;okos
;clever;;;;;adjektive;;ügyes
;gescheit;;;;;adjektive;;okos, értelmes
;weise;;;;;adjektive;;bölcs
;begabt;;;;;adjektive;;tehetséges
;intelligent;;;;;adjektive;;intelligens
;scharfsinnig;;;;;adjektive;;éles eszû
;gebildet;;;;;adjektive;;mûvelt, kiképzett
;dumm;;;;;adjektive;;buta, ostoba
;doof;;;;;adjektive;;bugyuta, buta
;blöde;;;;;adjektive;;bamba, bárgyú
;einfältig;;;;;adjektive;;együgyü, buta
;bescheuert;;;;;adjektive;;bolond
;borniert;;;;;adjektive;;korlátolt
;unintelligent;;;;;adjektive;;unintelligens
;stumpfsinnig;;;;;adjektive;;buta, korlátolt, tompa
;schwachsinnig;;;;;adjektive;;gyengeelméjû, elmebajos, féleszû
;stockdumm;;;;;adjektive;;tökkelütött
der;Charakter;e;;;;nomen;;jellem, karakter
;fest;;;;;adjektive;;szilárd, kemény, tartós
;stark;;;;;adjektive;;erõs
;schwierig;;;;;adjektive;;fáradságos, bonyolult
;schwach;;;;;adjektive;;gyenge
;ausgeprägten;;;;;adjektive;;jellegzetes
;zuverlässig;;;;;adjektive;;megbízható
;gewissenschaft;;;;;adjektive;;lelkiismeretes
;ehrlich;;;;;adjektive;;becsületes, õszinte
;gerecht;;;;;adjektive;;becsületes, derék
;aufrichtig;;;;;adjektive;;õszinte, egyenes
;treu;;;;;adjektive;;hû
;beharrlich;;;;;adjektive;;kitartó, ragaszkodó
;beständig;;;;;adjektive;;állandó, kitartó
;loyal;;;;;adjektive;;hû, lojális
;aufgeschlossen;;;;;adjektive;;nyitott gondolkodású, õszínte, nyíltszívû
;offen;;;;;adjektive;;nyitott
;unehrlich;;;;;adjektive;;becstelen, tisztességtelen
;betrügerisch;;;;;adjektive;;csaló, csalóka
;verlogen;;;;;adjektive;;csaló, hazudozó, hazug
;unzuverlässig;;;;;adjektive;;megbízhatatlan, kétes
;ungerecht;;;;;adjektive;;igazságtalan, jogtalan
;eingebildet;;;;;adjektive;;beképzelt
;arrogant;;;;;adjektive;;arrogáns
;überklug;;;;;adjektive;;tudálékos
;angeberisch;;;;;adjektive;;hencegõ, felvágós
;hinterlistig;;;;;adjektive;;alattomos
;bescheiden;;;;;adjektive;;szerény
;leicht gekränkt;;;;;adjektive;;könnyen sértõdõ, sértõdékeny
;ordentlich;;;;;adjektive;;rendes
;ordnungsliebend;;;;;adjektive;;rendes, rendszeretõ
;pedantisch;;;;;adjektive;;pedáns
;unordentlich;;;;;adjektive;;rendetlen
;schlampig;;;;;adjektive;;slampos, rendetlen
das;Temperament;e;;;;nomen;;temperamentum
;zuvorkommend;;;;;adjektive;;elõzékeny, szolgálatkész
;anständig;;;;;adjektive;;tisztességes, illedelmes, rendes
;lässig;;;;;adjektive;;hanyag
;locker;;;;;adjektive;;laza
;gelassen;;;;;adjektive;;higgadt, szenvtelen
;klasse;;;;;adjektive;;nagyszerû
;nett;;;;;adjektive;;kedves, csinos
;cool;;;;;adjektive;;király, klassz, kiváló
der;Durchschnittsmensch;en;;;;nomen;;átlagember
der;Junge;en;;;;nomen;;fiú
das;Mädchen;-;;;;nomen;;lány
;lustig;;;;;adjektive;;vidám
;fröhlich;;;;;adjektive;;vidám, boldog
;freudig;;;;;adjektive;;jókedvû, örömteli
;heiter;;;;;adjektive;;derûs, vidám
