das;Hochzeitsgeschenk;e;;;;nomen;nászajándék;1|9
das;Hochzeitskleid;er;;;;nomen;menyasszonyi ruha / vőlegény ruha;1|9|10
die;Hochzeitsnacht;Hochzeitsnächte;;;;nomen;nászéjszaka;1|9
die;Hochzeitsreise;n;;;;nomen;nászút;1|6|9
der;Honig;e;;;;nomen;méz;4|10
das;Hörnchen;-;;;;nomen;kifli;4|10
;humorvoll;;;;;adjektive;"humoros; tréfás";1
der;Hunger;;;;;nomen;éhség;4|8
;hübsch;;;;;adjektive;csínos;1
;ideal;;;;;adjektive;ideális;0|6|8
;informieren;;informierte;h. informiert;informiere|informierst|informiert|informieren|informiert|informieren;verben;"tájékoztat; értesít";0|2|3
der;Ingwer;-;;;;nomen;gyömbér;4
;intelligent;;;;;adjektive;intelligens;1|2|3
das;Intresse;n;;;;nomen;érdeklődés;1|9
der;Jahreswechsel;-;;;;nomen;évváltás;0
die;Jause;n;;;;nomen;uzsonna;2|4|8
der;Job;s;;;;nomen;"munka; állás";3
die;Johannisbeere;n;;;;nomen;ribizli;4|10
der;Journalist;en;;;;nomen;újságíró;3
die;Journalistin;nen;;;;nomen;újságírónő;3
das;Jubiläum;Jubiläen;;;;nomen;"évforduló; jubileum";0|1|9
;jugendlich;;;;;adjektive;fiatalos;1
der;Junge;en;;;;nomen;fiú;1
der;Junggeselle;n;;;;nomen;agglegény;1
der;Kaffee;;;;;nomen;kávé;3|4|8
der;Kakao;;;;;nomen;kakaó;4
;kalorienarm;;;;;adjektive;kalóriaszegény;4|8
;kalorienreich;;;;;adjektive;kalóriadús;4|8
;kalt;;;;;adjektive;"hideg; hűvös";0
;kämmen;;kämmte;h. gekämmt;kämme|kämmst|kämmt|kämmen|kämmt|kämmen;verben;fésül;1
die;Karotte;n;;;;nomen;"sárgarépa; répa";1|10
die;Karriere;n;;;;nomen;karrier;2|3
